FacultyType,Institution,Province,Region,Comparator,Year,Floor,Ceiling,Source,Note
Full Professor,NSCAD University,NS,Atlantic,YES,2015,100459,130219,FBS,
Associate Professor,NSCAD University,NS,Atlantic,YES,2015,84515,111795,FBS,
Associate Professor,NSCAD University,NS,Atlantic,YES,2016,85362,112917,https://navigator.nscad.ca/wordpress/wp-content/uploads/2017/12/CollectiveAgreementUnit1.pdf,
Associate Professor,NSCAD University,NS,Atlantic,YES,2017,86215,114045,https://navigator.nscad.ca/wordpress/wp-content/uploads/2017/12/CollectiveAgreementUnit1.pdf,
Associate Professor,NSCAD University,NS,Atlantic,YES,2018,86649,114622,https://navigator.nscad.ca/wordpress/wp-content/uploads/2017/12/CollectiveAgreementUnit1.pdf,
Associate Professor,NSCAD University,NS,Atlantic,YES,2019,88038,116462,https://navigator.nscad.ca/wordpress/wp-content/uploads/2019/07/UNIT-I-Collective-Agreement-July1-2018-June-30-2022-Signed.pdf,
Associate Professor,NSCAD University,NS,Atlantic,YES,2020,89443,118318,https://navigator.nscad.ca/wordpress/wp-content/uploads/2019/07/UNIT-I-Collective-Agreement-July1-2018-June-30-2022-Signed.pdf,
Associate Professor,NSCAD University,NS,Atlantic,YES,2021,90874,130211,https://navigator.nscad.ca/wordpress/wp-content/uploads/2019/07/UNIT-I-Collective-Agreement-July1-2018-June-30-2022-Signed.pdf,
Associate Professor,NSCAD University,NS,Atlantic,YES,2022,92331,122141,https://navigator.nscad.ca/wordpress/wp-content/uploads/2019/07/UNIT-I-Collective-Agreement-July1-2018-June-30-2022-Signed.pdf,
Full Professor,NSCAD University,NS,Atlantic,YES,2016,101466,131526,https://navigator.nscad.ca/wordpress/wp-content/uploads/2017/12/CollectiveAgreementUnit1.pdf,
Full Professor,NSCAD University,NS,Atlantic,YES,2017,102480,132840,https://navigator.nscad.ca/wordpress/wp-content/uploads/2017/12/CollectiveAgreementUnit1.pdf,
Full Professor,NSCAD University,NS,Atlantic,YES,2018,102997,133513,https://navigator.nscad.ca/wordpress/wp-content/uploads/2017/12/CollectiveAgreementUnit1.pdf,
Full Professor,NSCAD University,NS,Atlantic,YES,2019,104649,135657,https://navigator.nscad.ca/wordpress/wp-content/uploads/2019/07/UNIT-I-Collective-Agreement-July1-2018-June-30-2022-Signed.pdf,
Full Professor,NSCAD University,NS,Atlantic,YES,2020,106318,137818,https://navigator.nscad.ca/wordpress/wp-content/uploads/2019/07/UNIT-I-Collective-Agreement-July1-2018-June-30-2022-Signed.pdf,
Full Professor,NSCAD University,NS,Atlantic,YES,2021,108019,140023,https://navigator.nscad.ca/wordpress/wp-content/uploads/2019/07/UNIT-I-Collective-Agreement-July1-2018-June-30-2022-Signed.pdf,
Full Professor,NSCAD University,NS,Atlantic,YES,2022,109752,142272,https://navigator.nscad.ca/wordpress/wp-content/uploads/2019/07/UNIT-I-Collective-Agreement-July1-2018-June-30-2022-Signed.pdf,
Full Professor,Acadia University,NS,Atlantic,,2020,115897,152521,FBS,
Full Professor,Acadia University,NS,Atlantic,,2019,114016,149888,FBS,
Full Professor,Acadia University,NS,Atlantic,,2018,112158,147294,FBS,
Full Professor,Acadia University,NS,Atlantic,,2017,110323,144739,FBS,
Full Professor,Acadia University,NS,Atlantic,,2016,106404,142233,FBS,
Full Professor,Acadia University,NS,Atlantic,,2015,104577,139784,FBS,
Assistant Professor,Acadia University,NS,Atlantic,,2020,76984,97585,FBS,
Assistant Professor,Acadia University,NS,Atlantic,,2019,75902,96080,FBS,
Assistant Professor,Acadia University,NS,Atlantic,,2018,74826,94590,FBS,
Assistant Professor,Acadia University,NS,Atlantic,,2017,73756,93115,FBS,
Assistant Professor,Acadia University,NS,Atlantic,,2016,72692,91655,FBS,
Assistant Professor,Acadia University,NS,Atlantic,,2015,71441,90080,FBS,
Associate Professor,Acadia University,NS,Atlantic,,2020,95296,120475,FBS,
Associate Professor,Acadia University,NS,Atlantic,,2019,93838,118500,FBS,
Associate Professor,Acadia University,NS,Atlantic,,2018,92394,116550,FBS,
Associate Professor,Acadia University,NS,Atlantic,,2017,90964,114625,FBS,
Associate Professor,Acadia University,NS,Atlantic,,2016,89548,112725,FBS,
Associate Professor,Acadia University,NS,Atlantic,,2015,88009,110790,FBS,
